DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE003C1,2013,249754,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE003C1,2014,251984,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE003C1,2015,253914,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE003C1,2016,257226,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE003C1,2017,259462,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE003C1,2018,260329,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE003C1,2019,262205,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2011,204150,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2012,204762,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2013,204826,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2014,203640,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2015,203228,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2016,202602,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2017,201884,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2018,202341,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE004C1,2019,202637,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2011,377263,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2012,379978,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2013,382009,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2014,382637,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2015,382852,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2016,382488,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2017,383725,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2018,383710,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE005C1,2019,383482,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2011,117260,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2012,117617,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2013,118145,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2014,117886,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2015,118335,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2016,118219,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2017,118393,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2018,118526,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE006C1,2019,118569,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2011,110175,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2012,110753,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2013,111224,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2014,111348,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2015,111312,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2016,110738,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2017,111111,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2018,111334,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE007C1,2019,111239,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2011,97270,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2012,98056,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2013,98119,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2014,98591,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2015,98531,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2016,99365,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2017,99640,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2018,100524,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE008C1,2019,101132,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2011,92721,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2012,93398,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2013,94316,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2014,95357,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2015,95469,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2016,95046,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2017,95332,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2018,95369,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE009C1,2019,95679,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2011,75223,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2012,75667,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2013,75687,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2014,75604,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2015,75577,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2016,75639,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2017,75849,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2018,76342,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE010C1,2019,76814,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2011,69980,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2012,70655,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2013,70458,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2014,70681,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2015,70813,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2016,70782,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2017,71204,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2018,71451,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BE011C1,2019,71551,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2011,7369431,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2012,7327224,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2013,7284552,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2014,7245677,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2015,7202198,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2016,7153784,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2017,7101859,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2018,7050034,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2019,7000039,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG,2020,6951482,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2011,1202921,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2012,1208097,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2013,1213542,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2014,1221292,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2015,1228282,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2016,1231981,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2017,1236047,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2018,1238438,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2019,1241675,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG001C1,2020,1242568,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2011,338062,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2012,338184,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2013,339129,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2014,341041,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2015,341567,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2016,341625,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2017,343424,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2018,345213,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2019,346893,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG002C1,2020,347851,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2011,334486,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2012,334781,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2013,334744,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2014,335819,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2015,335949,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2016,334466,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2017,335177,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2018,335854,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2019,336505,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG003C1,2020,336216,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2011,200261,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2012,199484,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2013,199083,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2014,199364,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2015,198725,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2016,203017,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2017,202766,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2018,202694,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2019,202434,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG004C1,2020,201779,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2011,107101,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2012,105673,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2013,104416,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2014,103122,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2015,101978,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2016,99628,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2017,98467,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2018,97557,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2019,96610,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG005C1,2020,95086,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2011,149750,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2012,149134,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2013,148350,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2014,147817,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2015,147055,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2016,145765,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2017,144936,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2018,144125,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2019,142902,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG006C1,2020,141231,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2011,48095,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2012,47382,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2013,46877,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2014,46068,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2015,45327,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2016,43595,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2017,42801,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2018,42195,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2019,41583,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG007C1,2020,40620,
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2011,138329,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2012,137416,e
ESTAT:URB_CPOP1$DEFAULTVIEW(1.0),05/08/21 23:00:00,A,DE1001V,BG008C1,2013,137881,e
